title,year,name,type,character,n
Milosc ci wszystko wybaczy,1981,Leonard Andrzejewski,actor,Gravedigger,
Nie lubie poniedzialku,1971,Leonard Andrzejewski,actor,Miecio,
Ostatni prom,1989,Leonard Andrzejewski,actor,Commerade Zdzislaw Marecki,13.0
Pan Wolodyjowski,1969,Leonard Andrzejewski,actor,Halim,15.0
Pastorale heroica,1983,Leonard Andrzejewski,actor,Lesny,14.0
Pieczone golabki,1966,Leonard Andrzejewski,actor,Worker,
Potop,1974,Leonard Andrzejewski,actor,Aga,45.0
Pulapka,1997,Leonard Andrzejewski,actor,Man in bar,
Rozmowy kontrolowane,1991,Leonard Andrzejewski,actor,General in TV,22.0
Superwizja,1993,Leonard Andrzejewski,actor,Old man - drug dealer,
Urodziny mlodego warszawiaka,1980,Leonard Andrzejewski,actor,Man at the Moonshine Kiosk,
W klatce,1988,Leonard Andrzejewski,actor,Guard in the Bank,9.0
"Wiosna, panie sierzancie",1974,Leonard Andrzejewski,actor,Wiktor,8.0
Wolne miasto,1958,Leonard Andrzejewski,actor,German in Bar,
Zapis zbrodni,1974,Leonard Andrzejewski,actor,Milicjant,15.0
Those Who Go to Hell,2012,Leo Kei Angelos,actor,Joseph Tran,
Underground,2010,Leo Kei Angelos,actor,Monro's Bodyguard,27.0
Karate po polsku,1983,Michal Aniol,actor,Michal Szczerbic,1.0
Po kom tyurma plachet...,1991,Leonid Anisimov,actor,Musician,16.0
"Ulybka Boga, ili Chisto odesskaya istoriya",2008,Leonid Anisimov,actor,1983 god - Tamada,78.0
iBoy,2017,Leon Annor,actor,Keon,11.0
Level Up,2016,Leon Annor,actor,Keon,11.0
National Theatre Live: As You Like It,2016,Leon Annor,actor,Charles,
The Contract,2016,Leon Annor,actor,Pork Belly,
Shithead,2017,Leo Ansa,actor,Puke Kid,
La barbacoa,2012,Leonardo Anselmi,actor,Himself,10.0
Gaqtseva gatenebisas,1975,Leo Antadze,actor,Zarelua,22.0
Kvavili tovlze,1959,Leo Antadze,actor,Kakhaberi,1.0
Lost in Karastan,2014,Leo Antadze,actor,Igor,
Naughty Kids: Operation New Year,2012,Leo Antadze,actor,Babu,
Tetri bairagebi,1990,Leo Antadze,actor,Tcheishvili,7.0
The President,2014,Leo Antadze,actor,Colonel,
'Fun on a Week-End',1947,Leo Anthony,actor,Gambling Casino Bouncer,
A Night in Casablanca,1946,Leo Anthony,actor,Hotel Guest,
Always Leave Them Laughing,1949,Leo Anthony,actor,Club Patron,
Barricade,1950,Leo Anthony,actor,Miner,
Black Hand,1950,Leo Anthony,actor,Courtroom Spectator,
City Across the River,1949,Leo Anthony,actor,Hank,
Gentleman Joe Palooka,1946,Leo Anthony,actor,Cornerman,
Go West,1940,Leo Anthony,actor,Barfly,
Mr. Moto's Last Warning,1939,Leo Anthony,actor,Porter,
San Antonio,1945,Leo Anthony,actor,Barfly,
Saratoga Trunk,1945,Leo Anthony,actor,Railroad Worker,
Tenth Avenue Angel,1948,Leo Anthony,actor,Celebration Guest,
The Killers,1946,Leo Anthony,actor,Cornerman,
The Lady Gambles,1949,Leo Anthony,actor,Dealer,
The Lone Wolf in Mexico,1947,Leo Anthony,actor,Croupier,
Devil's Harvest,1942,Leo (IV) Anthony,actor,Larry McGuire,2.0
Lang historie kort,2015,Leonard Georg Antonakakis,actor,Hugo,
Padre Nuestro,2007,Leonardo Anzures,actor,Simon,
The Master,2012,Leonard Apeltsin,actor,Follower,
Kung ako na lang sana,2003,Butz Aquino,actor,Ed Villadolid,12.0
Kung ako na lang sana,2003,Oliver Aquino,actor,Young Edmund,25.0
"Kung marunong kang magdasal, umpisahan mo na",1996,Roldan Aquino,actor,Col. Mora,11.0
Kung Fu Tootsie,2007,Kohtee Aramboy,actor,Kaytree,
Orillas,2011,Leonel Arancibia,actor,Shantas,1.0
2013: Holocaust,2013,Leo Aranda,actor,Maddox,3.0
Karate: Tyfli fygi,2005,Ilias Aravantinos,actor,Eric Virgo,2.0
Mojado... pero caliente,1989,Leonardo Araújo,actor,Asaltante 1,
Four Sons,1928,Archduke Leopold of Austria,actor,A Captain,10.0
Night Life,1927,Archduke Leopold of Austria,actor,Chief of Detectives,
Kungsgatan,1943,Sven Arefeldt,actor,Pianist,
Kung Fu Graffiti,2010,Zach Arenson,actor,Football Player,
Todos los besos,2007,Leobardo Arias,actor,Dental Patient,
Pomegranate,2005,Leonardo Arias,actor,Sebastian,
Dope Fiend,2017,Leonardo (II) Arias,actor,Santiago,
Kung ako na lang sana,2003,Tazi Arish,actor,Hans,38.0
Taxi,2015,Leonardo Arivelo,actor,Iwan,
12 mesyatsev,2013,Leonid Arkhangelskiy,actor,Lesha,
Gorko! 2,2014,Leonid Arkhangelskiy,actor,Groom,
Yolki 1914,2014,Leonid Arkhangelskiy,actor,Ruslan,
Karateciler Istanbul'da,1974,Cüneyt Arkin,actor,Erol Arkin,
Una novia para David,1985,Leonardo Armas,actor,David's Schoolmate,7.0
"Abraxas, Guardian of the Universe",1990,Leo Armoffe,actor,Bar Patron,31.0
The Karate Killers,1967,Frank Arno,actor,Chief Fireman,21.0
Teenage Kung Fu Cottontails,2014,Aaron (IV) Arnold,actor,Techla,
Kungen av Dalarna,1953,Per-Axel Arosenius,actor,Government member at cabinet meeting,
100 metros,2016,Leo Arribas,actor,Martín 6 meses,22.0
Snake Eater,1989,Leo Arseneault,actor,Biker #2,22.0
Dale and the Laughing Turtle,2009,Leo Artajo,actor,Joey,
Flying Down to Rio,1933,Leo Artigo,actor,Policeman,
Kung Fu Cops,2013,Mak Asfha,actor,George Washington Carver Jr,
All That Remains,2016,Leo Ashizawa,actor,Dr.Takashi Nagai,1.0
Breaking the Bank,2014,Leo Ashizawa,actor,Masaru,
"Kung kaya mo, kaya mo rin!",1996,Ronald Asinas,actor,Hold-upper,13.0
Abschied von den Wolken,1959,Leon Askin,actor,Gen. Cordobas,13.0
Airplane II: The Sequel,1982,Leon Askin,actor,Moscow Anchorman,29.0
Assignment: Paris,1952,Leon Askin,actor,Franz,
Carolina Cannonball,1955,Leon Askin,actor,Otto,5.0
China Venture,1953,Leon Askin,actor,Wu King,8.0
Der Schinderhannes,1958,Leon Askin,actor,Rochus Eppelsheimer,13.0
Desert Legion,1953,Leon Askin,actor,Maj. Vasil,6.0
Die Funkstreife Gottes,1968,Leon Askin,actor,Felix,4.0
Do Not Disturb,1965,Leon Askin,actor,Langsdorf,8.0
Double Trouble,1967,Leon Askin,actor,Inspector de Groote,10.0
Going Ape!,1981,Leon Askin,actor,Zebrewski,10.0
Hammersmith Is Out,1972,Leon Askin,actor,Dr. Krodt,6.0
Herrin der Welt,1960,Leon Askin,actor,Fernando,6.0
"John Goldfarb, Please Come Home!",1965,Leon Askin,actor,Samir,12.0
Karl May,1974,Leon Askin,actor,Klotz-Sello,9.0
Knock on Wood,1954,Leon Askin,actor,Laslo Gromeck,5.0
Kubanisch rauchen,1999,Leon Askin,actor,Waranovsky,
La bataille de San Sebastian,1968,Leon Askin,actor,Vicar General,9.0
Lucrezia,1968,Leon Askin,actor,Alessandro VI,10.0
Lulu,1962,Leon Askin,actor,Dr. Goll,7.0
OcchioPinocchio,1994,Leon Askin,actor,The Psychiatrist,
Odd Jobs,1986,Leon Askin,actor,Don Carlucci,19.0
"One, Two, Three",1961,Leon Askin,actor,Peripetchikoff,7.0
Road to Bali,1952,Leon Askin,actor,King Ramayana,7.0
Ruba al prossimo tuo,1968,Leon Askin,actor,Chief Wellman,4.0
Secret of the Incas,1954,Leon Askin,actor,Anton Marcu,7.0
Sherlock Holmes und das Halsband des Todes,1962,Leon Askin,actor,Charles,7.0
Son of Sinbad,1955,Leon Askin,actor,Khalif,6.0
South Sea Woman,1953,Leon Askin,actor,Pierre Marchand,6.0
Spy Chasers,1955,Leon Askin,actor,Col. Alex Baxis,4.0
Stiffs,1985,Leon Askin,actor,Funeral Director,
Superman in Exile,1954,Leon Askin,actor,Joseph Ferdinand,6.0
The Caper of the Golden Bulls,1967,Leon Askin,actor,Morchek,14.0
The Last Blitzkrieg,1959,Leon Askin,actor,Sergeant Steiner,7.0
The Perils of Pauline,1967,Leon Askin,actor,Commisar,9.0
The Robe,1953,Leon Askin,actor,Abidor,13.0
The Veils of Bagdad,1953,Leon Askin,actor,Pasha Hammam,10.0
The Wicked Dreams of Paula Schultz,1968,Leon Askin,actor,Oscar,6.0
The World's Greatest Athlete,1973,Leon Askin,actor,Dr. Gottlieb,13.0
Valley of the Kings,1954,Leon Askin,actor,"Valentine Arko, Antique Dealer",6.0
Weit ist der Weg,1960,Leon Askin,actor,Luiz,5.0
"What Did You Do in the War, Daddy?",1966,Leon Askin,actor,Col. Kastorp,8.0
Mayohan,2010,Leonard Astrera,actor,Pasayaw Talent,156.0
Kung patatawarin ka ng bala ko!,1991,Bernard Atienza,actor,Jack Bodyguard,32.0
Teenage Kung Fu Cottontails,2014,James Atwell,actor,Police Officer,
Luc Van Tien: Tuyet Dinh Kungfu,2017,Du Au,actor,Dusher Bui's men,
Knock Off,1998,Man Leong Au,actor,Rickshaw Passenger,95.0
Yip Man: Jung gik yat jin,2013,Leo Au-Yeung,actor,Fat Choi,
Hawken's Breed,1987,Leo Aubret,actor,Indian,19.0
Her Alibi,1989,Leonard Auclair,actor,Jack the Author,31.0
Lancelot: Guardian of Time,1997,Leonard Auclair,actor,Merlin,9.0
Frozen,2005,Leo Audley,actor,Auctioneer,24.0
Gidget Goes to Rome,1963,Leon Auerbach,actor,East Indian Yoga,
The Karate Killers,1967,Christopher Augustine,actor,Himself,
Dance World Revelations,2008,Leonard Augustus,actor,Master Hines,9.0
Nutshells: A Brat from the Bayou,2002,Leonard Augustus,actor,Attendant Cooper,7.0
Kung Fu Brother,2014,Marcus Aurelius,actor,Jack,
If I Were You,2012,Leon Aureus,actor,Tyler,10.0
Sons of Shadow,2008,Leon Aureus,actor,Rikimaru,
Kung Fu and Titties,2013,Jonathan Avalishvili,actor,Croatian #4,
Kung Fu and Titties,2013,Maurice Avalishvili,actor,Croatian #3,
The Karate Kid,1984,Frank Burt Avalon,actor,Chucky,16.0
Malan,2012,Leo Avila,actor,Uncle Dencio,
The Karate Kid Part III,1989,Jonathan Avildsen,actor,Snake,7.0
"Dig That, Zeebo Newton",2017,Leo Awgowhat,actor,Herschel Hammerhead,
Happy Birthday Woody Allen & Keep Going,2012,Leon Axt,actor,Customs Officer,
Kung ako na lang sana,2003,Mico Aytona,actor,Peter,21.0
Imagining Argentina,2003,Leonardo Azamor,actor,Prison Guard 1,41.0
Kungsgatan,1943,Bertil Backman,actor,Young Man in Restaurant,
Morris from America,2016,Leon Badenhop,actor,Rainer,6.0
Irish Whiskey Rebellion,1972,Leopold Badia,actor,Doctor,19.0
The Gang That Couldn't Shoot Straight,1971,Leopold Badia,actor,Old Waiter,36.0
"Kung kaya mo, kaya mo rin!",1996,Japh Bahian,actor,Goon,39.0
Unconditional Love,1994,Leon Bailey,actor,Portrait Stand Customer,33.0
Body and Soul,1981,Leonard Bailey,actor,Random Boxer,33.0
Tarzan the Ape Man,1981,Leonard Bailey,actor,Feathers,8.0
Kung ako na lang sana,2003,Ricky Baizas,actor,Greg's Barkada at Party,35.0
King Kung Fu,1976,Allan (III) Baker,actor,Smilin' Jack,
SexDotCom,2015,Lauren Leone Baker,actor,Natalie,12.0
The Circus Animals,2012,Lauren Leone Baker,actor,The Other Actress,7.0
Ice Cream in the Cupboard,2017,Leona Marie Baker,actor,Party attendee,
The Man Who Shot Liberty Valance,1962,Leonard Baker,actor,Man,
The Second Time Around,1961,Leonard Baker,actor,Bandit,
Adres vashego doma,1972,Leonid Bakshtayev,actor,Chief Engineer,6.0
"Aty-baty, shli soldaty...",1977,Leonid Bakshtayev,actor,Konstantin,4.0
Bilyy ptakh z chornoyu vidznakoyu,1971,Leonid Bakshtayev,actor,Ostap,11.0
Idu do tebe,1971,Leonid Bakshtayev,actor,Professor Berkovskiy,
Komissary,1971,Leonid Bakshtayev,actor,Degtyaryov,8.0
Krasnye dipkurery,1977,Leonid Bakshtayev,actor,Komesk,
Krutoy gorizont,1970,Leonid Bakshtayev,actor,Ivan,
Luchshiye gody,1984,Leonid Bakshtayev,actor,Zubkevich,12.0
Na kievskom napravlyenii,1968,Leonid Bakshtayev,actor,Kudryashov,
Niagara,1991,Leonid Bakshtayev,actor,Igor Igorevich,9.0
Petlya Oriona,1981,Leonid Bakshtayev,actor,Belov,1.0
Prikaz: ogon ne otkryvat,1982,Leonid Bakshtayev,actor,Dubov,
Prostyye zaboty,1975,Leonid Bakshtayev,actor,Boris Yarosh,1.0
"Tam vdali, za rekoy",1975,Leonid Bakshtayev,actor,Bandit,
Ubit 'Shakala',1991,Leonid Bakshtayev,actor,Expert,11.0
Zvyozdnyy tsvet,1971,Leonid Bakshtayev,actor,Commissar,4.0
Ang babae sa septic tank,2011,Leo Balangatan,actor,Car Thief,77.0
Thelma,2011,Leojohn Balboo,actor,University of Makati,487.0
Kung Pow Charlie,2014,L. Charles Balcom,actor,Extra,
Captive Audience,2011,Leo Baligaya,actor,Delivery Guy,8.0
Funny People,2009,Leo Baligaya,actor,Airport Traveler,
Her,2013,Leo Baligaya,actor,Office Employee,
Star Trek,2009,Leo Baligaya,actor,Starfleet Cadet,
Welcome To Dopeland,2011,Leo Baligaya,actor,Patty's Boyfriend,
King Kung Fu,1976,John Ballee,actor,Gorilla,1.0
Adventures of 'Gary Leon at Kuting',1992,Leo Ballesteros,actor,Mayor's Aide,75.0
Lucio Margallo,1992,Leo Ballesteros,actor,Inmate,68.0
The Talk of Hollywood,1929,The Leonidoff Ballet,actor,Ballet Troupe,11.0
Tayozhnyy moryak,1983,Leonid Baluyev,actor,Kostya,10.0
Aku ingin menciummu sekali saja,2002,Leo Banggo,actor,Pendeta,
Aku ingin menciummu sekali saja,2002,Leo Banggo,actor,Priest,
Karate Kiba,1976,Aaron Banks,actor,(U.S. version),
Voskresnye progulki,1984,Leonid Baranchik,actor,"(segment ""Papa"")",14.0
Papirosnitsa ot Mosselproma,1924,Leonid Baratov,actor,"Barsov-Aragonsky, film director",5.0
"Bystree, chem kroliki",2014,Leonid Barats,actor,Lyosha,2.0
Den radio,2008,Leonid Barats,actor,Lyosha,
Den vyborov,2007,Leonid Barats,actor,Lyosha,1.0
Den vyborov 2,2016,Leonid Barats,actor,Lyosha,
O chyom eshchyo govoryat muzhchiny,2011,Leonid Barats,actor,Lyosha,
O chyom govoryat muzhchiny,2010,Leonid Barats,actor,Lyosha,1.0
Savva. Serdtse voina,2015,Leonid Barats,actor,Obezyany: 'Artist' - 'Shpana',15.0
Benya Krik,1926,Leonid Barbe,actor,Muginstein - Tartakovski's clerk,14.0
Teenage Kung Fu Cottontails,2014,Paul (III) Barbeau,actor,News Reporter,
Kungliga Johansson,1934,Carl Barcklind,actor,Col. Stålhagen,4.0
Kungliga Johansson,1934,Eric Barclay,actor,Counsellor Enrique Belasco,7.0
Das kleine Gespenst,1992,Leo Bardischewski,actor,The Watchmaker,8.0
Liebe und Abenteuer,1978,Leo Bardischewski,actor,Max,4.0
Ludwig 1881,1993,Leo Bardischewski,actor,"Von Bayer, chemician",
Wodzek,1985,Leo Bardischewski,actor,Professor,
Loma,1976,Leonidas Barkas,actor,Receptionist #2,18.0
"Kung kaya mo, kaya mo rin!",1996,Ivan Baroutian,actor,Terrorist Group,23.0
Diamonds Are Forever,1971,Leonard Barr,actor,Shady Tree,13.0
Record City,1978,Leonard Barr,actor,Sickly Man,
The Sting,1973,Leonard Barr,actor,Burlesque House Comedian,23.0
Under the Rainbow,1981,Leonard Barr,actor,Pops,45.0
El narco naco,1999,Leon Barrera,actor,Rombo,
The Cylinder,2014,Leonard E. Barrett Jr.,actor,Bartender,
You Know What Sailors Are,1928,Leonard (II) Barry,actor,The British Captain's Husband,6.0
Syncopation,1929,Leon Barte,actor,Artino,9.0
La tercera orilla,2014,Leonardo Barthelémy,actor,Joaco,9.0
La cieca di Sorrento,1934,Leo Bartoli,actor,Don Gesualdo,15.0
L'ariamara,2005,Leonardo Bartoli,actor,Leo,3.0
Karate Cop,1991,Don Bartolo,actor,2nd stick attacker,15.0
"Kung kaya mo, kaya mo rin!",1996,Lee Barutan,actor,Terrorist Group,24.0
Gjengangere,2017,Leon Bashir,actor,Josef,1.0
Izzat,2005,Leon Bashir,actor,Hamza,7.0
Schpaaa,1998,Leon Bashir,actor,19-Year Old Boy,18.0
The Karate Kid,1984,William Bassett,actor,Mr. Mills,12.0
Illuminata,1998,Leo Bassi,actor,Beppo,1.0
Platillos volantes,2003,Leo Bassi,actor,Sr. Karma,8.0
Superman: Requiem,2011,Leo Bastuba,actor,Jimmy - Boy at Lake,22.0
Local Kung Fu 2,2017,Kenny Basumatary,actor,Deep,1.0
Local Kung Fu 2,2017,Kenny Basumatary,actor,Deepu,1.0
Local Kung Fu 2,2017,Tony Deori Basumatary,actor,Bob,
Give and Take,1928,Leo Bates,actor,Undetermined Secondary Role,
The Decoy,2006,Leonard Batson,actor,Livery Stable Man,
Nanga Parbat,2010,Leo Baumgartner,actor,Die Gestalt,23.0
The Karate Killers,1967,Paul Baxley,actor,Karate Killer,30.0
The Butler,2013,Leo Bayardlll,actor,Washington power player,
Os Fuzis,1964,Leonidas Bayer,actor,Sargento,4.0
Parceiros da Aventura,1980,Leonidas Bayer,actor,Agente do DOPS 2,
Slutty Summer,2004,Leopoldo Bayma,actor,Background Actor,
The Next Karate Kid,1994,Christopher Beam,actor,Westcott Boy,21.0
The Next Karate Kid,1994,Eric Beam,actor,Westcott Boy,22.0
Life Tracker,2013,Leon Beard,actor,Chosen,60.0
Headcase,2013,Leon Bearman,actor,Sean,
The Best Years,2013,Leon Bearman,actor,Jerome Jackson,
A Fight to the Finish,1925,Leon Beaumon,actor,Battling Wilson,6.0
Call of the Wild,1935,Leon Beaumon,actor,Man Outside Hospital,
Clancy of the Mounted,1933,Leon Beaumon,actor,Pierre LaRue,7.0
Cleopatra,1934,Leon Beaumon,actor,Egyptian Guard,
Flying Down to Rio,1933,Leon Beaumon,actor,Yankee Clipper,
Fugitive at Large,1939,Leon Beaumon,actor,Convict,
Pioneer Trail,1938,Leon Beaumon,actor,Henchman Joe,4.0
Stampede Thunder,1925,Leon Beaumon,actor,Beppo,3.0
The Freshman,1925,Leon Beaumon,actor,Student,
The Law Comes to Texas,1939,Leon Beaumon,actor,Henchman Jeff,5.0
The Mighty Barnum,1934,Leon Beaumon,actor,Man in Museum,
The Ten Commandments,1923,Leon Beaumon,actor,Egyptian Calvaryman,
The Vagabond King,1930,Leon Beaumon,actor,Extra,
Western Frontier,1935,Leon Beaumon,actor,Morgan,
Kung Fu Graffiti,2010,Thomas Beecher,actor,Student,
KingBreaker,2010,Leon Behar,actor,Thug #2,
"A Girl, a Guy, and a Gob",1941,Leon Belasco,actor,First Taxi Driver,
Abbott and Costello in the Foreign Legion,1950,Leon Belasco,actor,Hassam--Auctioneer,6.0
Adventures of Don Juan,1948,Leon Belasco,actor,Don de Cordoba,
Always in My Heart,1942,Leon Belasco,actor,Luke,
An American Romance,1944,Leon Belasco,actor,Cigar Store Proprietor,
And the Angels Sing,1944,Leon Belasco,actor,Waiter,
Bagdad,1949,Leon Belasco,actor,Beggar,10.0
Beauty for the Asking,1939,Leon Belasco,actor,Beauty Shop Owner,
Between Us Girls,1942,Leon Belasco,actor,Nightclub Patron,
Bomba and the Hidden City,1950,Leon Belasco,actor,Raschid,5.0
Broadway Serenade,1939,Leon Belasco,actor,'Squeaker',17.0
Call Me Madam,1953,Leon Belasco,actor,Leader,
Can-Can,1960,Leon Belasco,actor,Arturo - orchestra leader,7.0
Casablanca,1942,Leon Belasco,actor,Dealer at Rick's,
Chip Off the Old Block,1944,Leon Belasco,actor,Pianist,
Comrade X,1940,Leon Belasco,actor,Comrade Baronoff - Hotel Manager,
Cuban Fireball,1951,Leon Belasco,actor,Hunyabi,3.0
Design for Scandal,1941,Leon Belasco,actor,Raoul,9.0
Dramatic School,1938,Leon Belasco,actor,Nightclub Announcer,
Earl Carroll Vanities,1945,Leon Belasco,actor,Baron Dashek,10.0
Easy to Look at,1945,Leon Belasco,actor,Phillipe,7.0
Every Girl Should Be Married,1948,Leon Belasco,actor,Violinist,10.0
Everybody Does It,1949,Leon Belasco,actor,Prof. Hugo,9.0
Fisherman's Wharf,1939,Leon Belasco,actor,Luigi,7.0
For the Love of Mary,1948,Leon Belasco,actor,Igor,13.0
Geraldine,1953,Leon Belasco,actor,Professor Dubois,6.0
"Give Out, Sisters",1942,Leon Belasco,actor,Waiter,26.0
Gobs and Gals,1952,Leon Belasco,actor,Peter,7.0
Good Girls Go to Paris,1939,Leon Belasco,actor,Nightclub Violinist,
Havana Rose,1951,Leon Belasco,actor,Renaldi,6.0
"Henry Aldrich, Editor",1942,Leon Belasco,actor,Leon Brink,15.0
Hers to Hold,1943,Leon Belasco,actor,Orchestra Leader,
Highways by Night,1942,Leon Belasco,actor,Howard,
Hold Back the Dawn,1941,Leon Belasco,actor,Mr. Spitzer,
Holiday in Havana,1949,Leon Belasco,actor,Luis Amantado,
Holiday in Mexico,1946,Leon Belasco,actor,Orchestra Leader,
Holiday Inn,1942,Leon Belasco,actor,Flower Shop Proprietor,
Hollywood and Vine,1945,Leon Belasco,actor,Cedric Borris,6.0
I Take This Woman,1940,Leon Belasco,actor,Pancho,
I'll Wait for You,1941,Leon Belasco,actor,"Mr. Lapagos, the Tailor",12.0
"I, Jane Doe",1948,Leon Belasco,actor,Duroc,10.0
It Comes Up Love,1943,Leon Belasco,actor,Orchestra Leader,9.0
It Happened on Fifth Avenue,1947,Leon Belasco,actor,Musician,
It Started with Eve,1941,Leon Belasco,actor,Couturier,
It's a Date,1940,Leon Belasco,actor,Captain of Waiters,
Jalopy,1953,Leon Belasco,actor,Prof. Bosgood Elrod,5.0
Jiggs and Maggie in Jackpot Jitters,1949,Leon Belasco,actor,Gambler,
Kid Glove Killer,1942,Leon Belasco,actor,Chris Spyro - Cook,
Kisses for Breakfast,1941,Leon Belasco,actor,Piano Accompanist,
Lady of the Tropics,1939,Leon Belasco,actor,Assistant to Manager,
Legion of Lost Flyers,1939,Leon Belasco,actor,'Frenchy' Rogian,10.0
Little Egypt,1951,Leon Belasco,actor,Moulai,17.0
Little Iodine,1946,Leon Belasco,actor,Simkins,7.0
Love Happy,1949,Leon Belasco,actor,Mr. Lyons,9.0
Love That Brute,1950,Leon Belasco,actor,François Ducray aka Frenchy,10.0
Lucky Partners,1940,Leon Belasco,actor,Nick #1,9.0
Ma and Pa Kettle Go to Town,1950,Leon Belasco,actor,Beauty Salon Manager,
Man About Town,1939,Leon Belasco,actor,Arab Petitioner in Show,
Meet the People,1944,Leon Belasco,actor,Milo,
Melody and Moonlight,1940,Leon Belasco,actor,Maestro,
My Favorite Wife,1940,Leon Belasco,actor,Waiter - Pacific Club Poolside,
My Six Loves,1963,Leon Belasco,actor,Mario,14.0
Nancy Goes to Rio,1950,Leon Belasco,actor,Prof. Gama,
Never Give a Sucker an Even Break,1941,Leon Belasco,actor,Pianist,
Niagara Falls,1941,Leon Belasco,actor,Head Waiter,9.0
Night Club Girl,1945,Leon Belasco,actor,Gaston,7.0
Night in New Orleans,1942,Leon Belasco,actor,Waiter in Tavern,
Nothing But the Truth,1941,Leon Belasco,actor,Dr. Zarak,12.0
On Your Toes,1939,Leon Belasco,actor,Mishka - Slave in Ballet,
Out of This World,1945,Leon Belasco,actor,Leon,
Over My Dead Body,1942,Leon Belasco,actor,Pierre,13.0
Philo Vance Returns,1947,Leon Belasco,actor,Alexis Karnoff,3.0
Pin Up Girl,1944,Leon Belasco,actor,Mario,
Playmates,1941,Leon Belasco,actor,Prince Maharoohu,
Please Believe Me,1950,Leon Belasco,actor,The Croupier,15.0
Ringside Maisie,1941,Leon Belasco,actor,Shady Lawn Band Leader,
Road to Morocco,1942,Leon Belasco,actor,Yusef,
Roxie Hart,1942,Leon Belasco,actor,Waiter,
San Diego I Love You,1944,Leon Belasco,actor,Violinist,
See My Lawyer,1945,Leon Belasco,actor,Violinist,
She's for Me,1943,Leon Belasco,actor,Acton,8.0
Skylark,1941,Leon Belasco,actor,Long-Haired Man in Subway Car,14.0
Son of Ali Baba,1952,Leon Belasco,actor,Babu,9.0
Spring Parade,1940,Leon Belasco,actor,Violinist Orchestra Leader,17.0
Storm Over Lisbon,1944,Leon Belasco,actor,Fado Singer,
Superdad,1973,Leon Belasco,actor,Limousine Driver,20.0
Suspense,1946,Leon Belasco,actor,Pierre Yasha,8.0
Swing Parade of 1946,1946,Leon Belasco,actor,Pete,14.0
"Tall, Dark and Handsome",1941,Leon Belasco,actor,Alfredo Herrera,14.0
That Other Woman,1942,Leon Belasco,actor,Walter,16.0
The Art of Love,1965,Leon Belasco,actor,Prince,14.0
The Chocolate Soldier,1941,Leon Belasco,actor,Waiter at the Double Eagle,
